"일자,기초평가금액,입금액,출금액,기말평가금액,투자손익"
"2025-11-28,37076390,0,0,37097872,21482"
"2025-11-27,37191136,0,0,37076390,-114746"
"2025-11-26,37215045,0,0,37191136,-23909"
"2025-11-25,37176431,0,0,37215045,38614"
"2025-11-24,37064927,0,0,37176431,111504"
"2025-11-21,37159420,0,0,37064927,-94493"
"2025-11-20,37140112,0,0,37159420,19308"
"2025-11-19,37043145,0,0,37140112,96967"
"2025-11-18,37112305,0,0,37043145,-69160"
"2025-11-17,37181264,0,0,37112305,-68959"
"2025-11-14,37271137,0,0,37181264,-89873"
"2025-11-13,37187607,0,0,37271137,83530"
"2025-11-12,37045268,0,0,37187607,142339"
"2025-11-11,36963859,0,0,37045268,81409"
"2025-11-10,36817363,0,0,36963859,146496"
"2025-11-07,36814507,0,0,36817363,2856"
"2025-11-06,36767905,0,0,36814507,46602"
"2025-11-05,36739082,12856562,12856562,36767905,28823"
"2025-11-04,36699149,0,0,36739082,39933"
"2025-11-03,36624290,0,0,36699149,74859"
"2025-10-30,36748054,0,0,36749069,1015"
"2025-10-29,36740644,0,0,36748054,7410"
"2025-10-28,36758592,0,0,36740644,-17948"
"2025-10-27,36791073,0,0,36758592,-32481"
"2025-10-24,36700238,0,0,36791073,90835"
"2025-10-23,36637637,0,0,36700238,62601"
"2025-10-22,36617961,0,0,36637637,19676"
"2025-10-21,36581656,0,0,36617961,36305"
"2025-10-20,36567478,0,0,36581656,14178"
"2025-10-17,24695776,23849664,11924832,36567478,-53130"
"2025-10-16,24674855,0,0,24695776,20921"
"2025-10-15,24717358,0,0,24674855,-42503"
"2025-10-14,24666877,0,0,24717358,50481"
"2025-10-13,24626540,0,0,24666877,40337"
"2025-10-10,24672099,0,0,24626540,-45559"
"2025-10-02,24630341,0,0,24672099,41758"
"2025-10-01,24628488,0,0,24630341,1853"
