Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-06,13.397204,1.5340649,0.012833168,EWI,USD,ETF
2025-09-10,13.516219,1.5462255,0.012835703,EWI,USD,ETF
2025-10-31,13.183147,1.5751071,0.012543419,EWI,USD,ETF
2025-11-07,13.86967,1.5866597,0.012560386,EWI,USD,ETF
2025-11-10,13.676784,1.6340863,0.0122295385,EWI,USD,ETF
2025-11-11,14.382574,1.6453347,0.0120930225,EWI,USD,ETF
2025-11-12,14.345369,1.6410786,0.012010347,EWI,USD,ETF
2025-11-13,13.536836,1.6173654,0.012041496,EWI,USD,ETF
2025-11-14,13.373986,1.5979084,0.012218044,EWI,USD,ETF
2025-11-18,13.063555,1.5608183,0.01254584,EWI,USD,ETF
2025-11-19,12.928696,1.5447055,0.012660693,EWI,USD,ETF
2025-11-20,13.6783285,1.5647706,0.012792757,EWI,USD,ETF
2025-11-21,13.096634,1.5647706,0.012792757,EWI,USD,ETF
2025-11-24,13.272205,1.5857476,0.012697793,EWI,USD,ETF
2025-11-25,13.962685,1.5973003,0.012461656,EWI,USD,ETF
2025-11-26,13.468134,1.6091568,0.012371526,EWI,USD,ETF
2025-11-28,13.399431,1.6009485,0.01228037,EWI,USD,ETF
2025-12-01,13.485945,1.611285,0.012343334,EWI,USD,ETF
2025-12-02,13.559736,1.6201015,0.01226415,EWI,USD,ETF
2025-12-03,14.124794,1.6158453,0.01219741,EWI,USD,ETF
2025-12-04,13.480856,1.610677,0.0122295385,EWI,USD,ETF
2025-12-05,14.079616,1.610677,0.0122295385,EWI,USD,ETF
2025-12-08,13.16295,1.611893,0.012268781,EWI,USD,ETF
2025-12-09,13.294529,1.6280059,0.012259524,EWI,USD,ETF
2025-12-10,13.393835,1.6401665,0.012138188,EWI,USD,ETF
2025-12-11,13.321838,1.63135,0.012048192,EWI,USD,ETF
2025-12-12,13.493139,1.6523271,0.012113306,EWI,USD,ETF
2025-12-15,13.301977,1.6289179,0.012116037,EWI,USD,ETF
2025-12-16,13.284598,1.6267898,0.012131391,EWI,USD,ETF
2025-12-17,13.359078,1.6359104,0.012147262,EWI,USD,ETF
2025-12-19,13.458383,1.6480709,0.012079539,EWI,USD,ETF
2025-12-22,13.505553,1.6538473,0.011983775,EWI,USD,ETF
2025-12-23,13.545276,1.6587116,0.011948529,EWI,USD,ETF
2025-12-24,13.560171,1.6605356,0.011913489,EWI,USD,ETF
2025-12-26,13.44597,1.6465509,0.011900403,EWI,USD,ETF
2025-12-29,13.552724,1.6596235,0.012001476,EWI,USD,ETF
2025-12-30,13.488175,1.6517192,0.011906942,EWI,USD,ETF
2026-01-06,13.726508,1.6809047,0.011675947,EWI,USD,ETF
2026-01-07,13.816408,1.6793846,0.011824631,EWI,USD,ETF
2026-01-08,13.763884,1.6730002,0.011766835,EWI,USD,ETF
2026-01-09,13.763884,1.6730002,0.011675947,EWI,USD,ETF
2026-01-12,13.836417,1.6818167,0.011811739,EWI,USD,ETF
