Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,20.319853,1.5270616,0.005800179,IXP,USD,ETF
2025-09-10,21.173347,1.5445409,0.005804922,IXP,USD,ETF
2025-09-11,21.048407,1.5354267,0.005739229,IXP,USD,ETF
2025-09-12,21.231539,1.5487858,0.005773296,IXP,USD,ETF
2025-09-13,21.284597,1.5526562,0.0057234983,IXP,USD,ETF
2025-10-31,20.741903,1.5324302,0.0057690744,IXP,USD,ETF
2025-11-07,20.301516,1.4998939,0.005881378,IXP,USD,ETF
2025-11-10,20.834848,1.5392971,0.005815858,IXP,USD,ETF
2025-11-11,20.6084,1.5225669,0.00575878,IXP,USD,ETF
2025-11-12,20.253521,1.496348,0.0058220583,IXP,USD,ETF
2025-11-13,20.133537,1.4874836,0.0059240717,IXP,USD,ETF
2025-11-14,20.214653,1.4934765,0.0059593753,IXP,USD,ETF
2025-11-18,20.190996,1.4917285,0.005947893,IXP,USD,ETF
2025-11-19,19.961168,1.4747487,0.005942417,IXP,USD,ETF
2025-11-20,20.296951,1.4995568,0.006010836,IXP,USD,ETF
2025-11-21,20.78787,1.5358262,0.0059113954,IXP,USD,ETF
2025-11-24,20.98694,1.5505338,0.0057717944,IXP,USD,ETF
2025-11-25,20.958382,1.5484238,0.005717046,IXP,USD,ETF
2025-11-26,21.059607,1.5559024,0.0057248366,IXP,USD,ETF
2025-11-28,20.944693,1.5474124,0.0056973197,IXP,USD,ETF
2025-12-01,20.934553,1.5466633,0.005728578,IXP,USD,ETF
2025-12-02,20.974266,1.5495973,0.005731353,IXP,USD,ETF
2025-12-03,21.111994,1.5597727,0.0057205013,IXP,USD,ETF
2025-12-04,21.301264,1.5737562,0.0056831823,IXP,USD,ETF
2025-12-05,18.804335,1.5506586,0.005632685,IXP,USD,ETF
2025-12-08,18.789194,1.54941,0.005716586,IXP,USD,ETF
2025-12-09,18.783138,1.5489106,0.0057211923,IXP,USD,ETF
2025-12-10,18.72409,1.5440414,0.0057230373,IXP,USD,ETF
2025-12-11,18.571175,1.5314314,0.005741085,IXP,USD,ETF
2025-12-12,18.53635,1.5285598,0.005788358,IXP,USD,ETF
2025-12-15,18.126047,1.494725,0.005950684,IXP,USD,ETF
2025-12-16,17.89137,1.4753729,0.0059305043,IXP,USD,ETF
2025-12-17,18.103336,1.4928522,0.006008293,IXP,USD,ETF
2025-12-19,18.130589,1.4950995,0.005937944,IXP,USD,ETF
2025-12-22,18.298647,1.5089581,0.005904366,IXP,USD,ETF
