Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,23.142948,,,NOBL,USD,ETF
2025-10-31,23.667173,,,NOBL,USD,ETF
2025-11-07,23.746376,,,NOBL,USD,ETF
2025-11-10,24.051533,,,NOBL,USD,ETF
2025-11-11,24.128405,,,NOBL,USD,ETF
2025-11-12,24.058521,,,NOBL,USD,ETF
2025-11-13,23.958355,,,NOBL,USD,ETF
2025-11-14,23.790634,,,NOBL,USD,ETF
2025-11-18,23.678822,,,NOBL,USD,ETF
2025-11-19,23.650867,,,NOBL,USD,ETF
2025-11-20,24.088804,,,NOBL,USD,ETF
2025-11-21,23.967672,,,NOBL,USD,ETF
2025-11-24,24.296125,,,NOBL,USD,ETF
2025-11-25,24.417255,,,NOBL,USD,ETF
2025-11-26,24.48481,,,NOBL,USD,ETF
2025-11-28,24.382313,,,NOBL,USD,ETF
2025-12-01,24.256523,,,NOBL,USD,ETF
2025-12-02,24.410267,,,NOBL,USD,ETF
2025-12-03,24.342712,,,NOBL,USD,ETF
2025-12-04,24.377655,,,NOBL,USD,ETF
2025-12-05,22.515804,,,NOBL,USD,ETF
2025-12-08,22.476562,,,NOBL,USD,ETF
2025-12-09,22.755611,,,NOBL,USD,ETF
2025-12-10,23.00632,,,NOBL,USD,ETF
2025-12-11,23.04556,,,NOBL,USD,ETF
2025-12-12,23.108784,,,NOBL,USD,ETF
2025-12-15,22.908218,,,NOBL,USD,ETF
2025-12-16,22.98234,,,NOBL,USD,ETF
2025-12-17,22.934378,,,NOBL,USD,ETF
2025-12-19,22.901678,,,NOBL,USD,ETF
2025-12-22,22.940918,,,NOBL,USD,ETF
2025-12-23,22.910397,,,NOBL,USD,ETF
2025-12-24,22.921297,,,NOBL,USD,ETF
2025-12-26,22.903856,,,NOBL,USD,ETF
2025-12-29,22.873335,,,NOBL,USD,ETF
2025-12-30,22.68803,,,NOBL,USD,ETF
2026-01-06,23.174187,,,NOBL,USD,ETF
2026-01-07,23.484308,,,NOBL,USD,ETF
2026-01-08,23.56352,,,NOBL,USD,ETF
2026-01-09,23.677938,,,NOBL,USD,ETF
2026-01-12,23.803358,,,NOBL,USD,ETF
2026-01-13,24.0718,,,NOBL,USD,ETF
2026-01-14,24.153214,,,NOBL,USD,ETF
2026-01-15,24.054197,,,NOBL,USD,ETF
2026-01-16,23.836365,,,NOBL,USD,ETF
2026-01-20,24.120209,,,NOBL,USD,ETF
