Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,24.833105,,1.079949,,0.013220363,XLV,USD,ETF
2025-09-06,23.138384,,1.0836424,,0.013170342,XLV,USD,ETF
2025-09-07,23.138384,,1.0836424,,0.013170342,XLV,USD,ETF
2025-09-08,23.138384,,1.0836424,,0.013170342,XLV,USD,ETF
2025-09-09,23.129997,,1.0832496,,0.013125453,XLV,USD,ETF
2025-09-10,23.25416,,1.0890646,,0.013130213,XLV,USD,ETF
2025-10-31,25.348547,,1.1335418,,0.012543312,XLV,USD,ETF
2025-11-07,25.68067,,1.1483939,,0.012402357,XLV,USD,ETF
2025-11-10,26.478468,,1.1840699,,0.012289517,XLV,USD,ETF
2025-11-11,26.854525,,1.2008865,,0.012012212,XLV,USD,ETF
2025-11-12,26.840466,,1.2002578,,0.011843999,XLV,USD,ETF
2025-11-13,26.680555,,1.1931069,,0.011850202,XLV,USD,ETF
2025-11-14,26.65771,,1.1920853,,0.011921227,XLV,USD,ETF
2025-11-18,26.768417,,1.1970359,,0.011861852,XLV,USD,ETF
2025-11-19,26.608505,,1.189885,,0.011882097,XLV,USD,ETF
2025-11-20,27.169073,,1.2149526,,0.011953507,XLV,USD,ETF
2025-11-21,27.283295,,1.2200603,,0.011706875,XLV,USD,ETF
2025-11-24,27.900097,,1.2476426,,0.011657864,XLV,USD,ETF
2025-11-25,27.83859,,1.2448922,,0.011400138,XLV,USD,ETF
2025-11-26,27.703281,,1.2388414,,0.011425325,XLV,USD,ETF
2025-11-28,27.288567,,1.220296,,0.01148113,XLV,USD,ETF
2025-12-01,27.125143,,1.212988,,0.011655612,XLV,USD,ETF
2025-12-02,27.251665,,1.2186459,,0.0117258355,XLV,USD,ETF
