Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,31.539913,,,SHLD,USD,ETF
2025-09-10,31.419147,,,SHLD,USD,ETF
2025-09-11,32.098454,,,SHLD,USD,ETF
2025-09-12,32.878395,,,SHLD,USD,ETF
2025-09-13,32.979034,,,SHLD,USD,ETF
2025-10-31,33.305573,,,SHLD,USD,ETF
2025-11-07,31.98915,,,SHLD,USD,ETF
2025-11-10,32.374325,,,SHLD,USD,ETF
2025-11-11,32.111042,,,SHLD,USD,ETF
2025-11-12,31.48208,,,SHLD,USD,ETF
2025-11-13,31.530836,,,SHLD,USD,ETF
2025-11-14,31.51621,,,SHLD,USD,ETF
2025-11-18,30.697102,,,SHLD,USD,ETF
2025-11-19,30.27292,,,SHLD,USD,ETF
2025-11-20,29.916998,,,SHLD,USD,ETF
2025-11-21,29.795107,,,SHLD,USD,ETF
2025-11-24,30.151028,,,SHLD,USD,ETF
2025-11-25,30.346056,,,SHLD,USD,ETF
2025-11-26,30.424067,,,SHLD,USD,ETF
2025-11-28,29.614708,,,SHLD,USD,ETF
2025-12-01,29.931623,,,SHLD,USD,ETF
2025-12-02,30.458195,,,SHLD,USD,ETF
2025-12-03,30.784863,,,SHLD,USD,ETF
2025-12-04,30.633718,,,SHLD,USD,ETF
2025-12-05,33.126236,,,SHLD,USD,ETF
2025-12-08,33.31838,,,SHLD,USD,ETF
2025-12-09,33.505325,,,SHLD,USD,ETF
2025-12-10,33.71824,,,SHLD,USD,ETF
2025-12-11,33.609188,,,SHLD,USD,ETF
2025-12-12,33.448204,,,SHLD,USD,ETF
2025-12-15,33.0795,,,SHLD,USD,ETF
2025-12-16,32.68483,,,SHLD,USD,ETF
2025-12-17,33.095078,,,SHLD,USD,ETF
2025-12-19,33.796135,,,SHLD,USD,ETF
2025-12-22,34.58028,,,SHLD,USD,ETF
2025-12-23,34.590668,,,SHLD,USD,ETF
2025-12-24,34.2687,,,SHLD,USD,ETF
2025-12-26,34.107716,,,SHLD,USD,ETF
2025-12-29,33.899994,,,SHLD,USD,ETF
2025-12-30,33.64554,,,SHLD,USD,ETF
2026-01-06,36.93791,,,SHLD,USD,ETF
2026-01-07,35.305775,,,SHLD,USD,ETF
2026-01-08,36.355705,,,SHLD,USD,ETF
2026-01-09,36.94115,,,SHLD,USD,ETF
2026-01-12,36.955666,,,SHLD,USD,ETF
2026-01-13,37.18307,,,SHLD,USD,ETF
2026-01-14,37.424988,,,SHLD,USD,ETF
2026-01-15,37.695942,,,SHLD,USD,ETF
2026-01-16,37.260487,,,SHLD,USD,ETF
2026-01-20,37.19275,,,SHLD,USD,ETF
2026-01-21,36.90728,,,SHLD,USD,ETF
2026-01-22,37.216938,,,SHLD,USD,ETF
2026-01-23,36.8589,,,SHLD,USD,ETF
2026-01-26,37.676586,,,SHLD,USD,ETF
2026-01-27,37.36209,,,SHLD,USD,ETF
2026-01-28,36.984695,,,SHLD,USD,ETF
2026-01-29,36.404087,,,SHLD,USD,ETF
2026-02-02,36.916958,,,SHLD,USD,ETF
2026-02-03,35.1703,,,SHLD,USD,ETF
2026-02-04,29.320742,,,SHLD,USD,ETF
2026-02-05,30.10158,,,SHLD,USD,ETF
2026-02-06,30.725426,,,SHLD,USD,ETF
2026-02-09,30.126368,,,SHLD,USD,ETF
2026-02-10,29.49426,,,SHLD,USD,ETF
2026-02-11,29.362055,,,SHLD,USD,ETF
2026-02-12,29.833036,,,SHLD,USD,ETF
2026-02-13,29.886744,,,SHLD,USD,ETF
2026-02-17,30.65106,,,SHLD,USD,ETF
