Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,16.325153,,,SPYD,USD,ETF
2025-10-31,16.911379,,,SPYD,USD,ETF
2025-11-07,16.982885,,,SPYD,USD,ETF
2025-11-10,17.17357,,,SPYD,USD,ETF
2025-11-12,17.113983,,,SPYD,USD,ETF
2025-11-13,17.070284,,,SPYD,USD,ETF
2025-11-14,16.855762,,,SPYD,USD,ETF
2025-11-18,16.756447,,,SPYD,USD,ETF
2025-11-19,16.66905,,,SPYD,USD,ETF
2025-11-20,17.03453,,,SPYD,USD,ETF
2025-11-21,17.050419,,,SPYD,USD,ETF
2025-11-24,17.229187,,,SPYD,USD,ETF
2025-11-25,17.352339,,,SPYD,USD,ETF
2025-11-26,17.423845,,,SPYD,USD,ETF
2025-11-28,17.344393,,,SPYD,USD,ETF
2025-12-01,17.209324,,,SPYD,USD,ETF
2025-12-02,17.300694,,,SPYD,USD,ETF
2025-12-03,17.268913,,,SPYD,USD,ETF
2025-12-04,17.241106,,,SPYD,USD,ETF
2025-12-05,15.771275,,,SPYD,USD,ETF
2025-12-08,15.763965,,,SPYD,USD,ETF
2025-12-09,15.972299,,,SPYD,USD,ETF
2025-12-10,16.085602,,,SPYD,USD,ETF
2025-12-11,16.081947,,,SPYD,USD,ETF
2025-12-12,16.107533,,,SPYD,USD,ETF
2025-12-15,15.950368,,,SPYD,USD,ETF
2025-12-16,16.067327,,,SPYD,USD,ETF
2025-12-17,16.027122,,,SPYD,USD,ETF
2025-12-19,15.957679,,,SPYD,USD,ETF
2025-12-22,15.774929,,,SPYD,USD,ETF
2025-12-23,15.877268,,,SPYD,USD,ETF
2025-12-24,15.899199,,,SPYD,USD,ETF
2025-12-26,15.895544,,,SPYD,USD,ETF
2025-12-29,15.913819,,,SPYD,USD,ETF
2025-12-30,15.807824,,,SPYD,USD,ETF
2026-01-06,16.100224,,,SPYD,USD,ETF
2026-01-07,16.770191,,,SPYD,USD,ETF
2026-01-08,16.762629,,,SPYD,USD,ETF
2026-01-09,16.709703,,,SPYD,USD,ETF
2026-01-12,16.75129,,,SPYD,USD,ETF
2026-01-13,16.970556,,,SPYD,USD,ETF
2026-01-14,17.049946,,,SPYD,USD,ETF
2026-01-15,16.981895,,,SPYD,USD,ETF
2026-01-16,16.830679,,,SPYD,USD,ETF
2026-01-20,17.065067,,,SPYD,USD,ETF
2026-01-21,17.046165,,,SPYD,USD,ETF
2026-01-22,17.00458,,,SPYD,USD,ETF
2026-01-23,17.027264,,,SPYD,USD,ETF
2026-01-26,17.046165,,,SPYD,USD,ETF
2026-01-27,16.902506,,,SPYD,USD,ETF
2026-01-28,16.966776,,,SPYD,USD,ETF
2026-01-29,17.117994,,,SPYD,USD,ETF
2026-02-02,17.265432,,,SPYD,USD,ETF
2026-02-03,17.673723,,,SPYD,USD,ETF
2026-02-04,16.737692,,,SPYD,USD,ETF
2026-02-05,16.968607,,,SPYD,USD,ETF
2026-02-06,16.975822,,,SPYD,USD,ETF
2026-02-09,17.203129,,,SPYD,USD,ETF
2026-02-10,17.322193,,,SPYD,USD,ETF
2026-02-11,17.159834,,,SPYD,USD,ETF
2026-02-12,17.343843,,,SPYD,USD,ETF
