Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,22.993513,,,MOTG,USD,ETF
2025-10-31,22.69067,,,MOTG,USD,ETF
2025-11-07,22.36792,,,MOTG,USD,ETF
2025-11-10,22.857592,,,MOTG,USD,ETF
2025-11-11,22.851568,,,MOTG,USD,ETF
2025-11-12,22.52952,,,MOTG,USD,ETF
2025-11-13,22.418072,,,MOTG,USD,ETF
2025-11-14,22.1517,,,MOTG,USD,ETF
2025-11-18,21.921772,,,MOTG,USD,ETF
2025-11-19,21.645912,,,MOTG,USD,ETF
2025-11-20,21.949533,,,MOTG,USD,ETF
2025-11-21,21.997177,,,MOTG,USD,ETF
2025-11-24,22.250797,,,MOTG,USD,ETF
2025-11-25,22.337547,,,MOTG,USD,ETF
2025-11-26,22.386345,,,MOTG,USD,ETF
2025-11-28,22.349243,,,MOTG,USD,ETF
2025-12-01,22.403713,,,MOTG,USD,ETF
2025-12-02,22.550806,,,MOTG,USD,ETF
2025-12-03,22.66572,,,MOTG,USD,ETF
2025-12-04,22.749708,,,MOTG,USD,ETF
2025-12-05,22.474087,,,MOTG,USD,ETF
2025-12-08,22.41597,,,MOTG,USD,ETF
2025-12-09,22.696192,,,MOTG,USD,ETF
2025-12-10,22.721788,,,MOTG,USD,ETF
2025-12-11,22.635685,,,MOTG,USD,ETF
