Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,15.825607,0.9599247,0.005958372,XRT,USD,ETF
2025-10-31,16.272781,0.8970441,0.006417837,XRT,USD,ETF
2025-11-07,16.04585,0.8845345,0.006610837,XRT,USD,ETF
2025-11-10,16.266756,0.89671206,0.0064930213,XRT,USD,ETF
2025-11-11,16.36516,0.90213656,0.0064320993,XRT,USD,ETF
2025-11-12,16.166344,0.89117676,0.006393423,XRT,USD,ETF
2025-11-13,16.071957,0.88597363,0.00647205,XRT,USD,ETF
2025-11-14,15.80486,0.8712498,0.0065100593,XRT,USD,ETF
2025-11-18,15.7305565,0.86715376,0.0066217594,XRT,USD,ETF
2025-11-19,15.5196905,0.85552967,0.006651347,XRT,USD,ETF
2025-11-20,16.053883,0.88497734,0.006741719,XRT,USD,ETF
2025-11-21,15.977569,0.88077044,0.0065173884,XRT,USD,ETF
2025-11-24,16.704554,0.92084575,0.0065485174,XRT,USD,ETF
2025-11-25,16.953575,0.9345732,0.006263525,XRT,USD,ETF
2025-11-26,16.939516,0.93379825,0.0061715236,XRT,USD,ETF
2025-11-28,16.997757,0.93700874,0.0061766454,XRT,USD,ETF
2025-12-01,16.92345,0.9329126,0.0061554825,XRT,USD,ETF
2025-12-02,17.16444,0.9461973,0.006182509,XRT,USD,ETF
2025-12-03,17.104193,0.9428761,0.0060957065,XRT,USD,ETF
2025-12-04,17.317068,0.9546109,0.0061171777,XRT,USD,ETF
2025-12-05,16.536634,0.9502933,0.006041981,XRT,USD,ETF
2025-12-08,16.70809,0.9601461,0.006069432,XRT,USD,ETF
2025-12-09,16.939262,0.97343075,0.006007149,XRT,USD,ETF
2025-12-10,17.09916,0.9826193,0.005925168,XRT,USD,ETF
2025-12-11,16.931557,0.9729879,0.005869761,XRT,USD,ETF
2025-12-12,16.896881,0.9709952,0.005927865,XRT,USD,ETF
2025-12-15,16.821749,0.9666777,0.00594003,XRT,USD,ETF
2025-12-16,16.806337,0.96579206,0.00596656,XRT,USD,ETF
2025-12-17,16.81597,0.9663456,0.0059720315,XRT,USD,ETF
2025-12-19,16.858353,0.9687811,0.0059686108,XRT,USD,ETF
2025-12-22,16.640663,0.9562714,0.0059781987,XRT,USD,ETF
2025-12-23,16.812117,0.9661242,0.0060314895,XRT,USD,ETF
