Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,33.54957,,,,,CNXT,USD,ETF
2025-09-06,28.894064,,,,,CNXT,USD,ETF
2025-09-10,28.078419,,,,,CNXT,USD,ETF
2025-10-31,36.283043,,,,,CNXT,USD,ETF
2025-11-07,36.32516,,,,,CNXT,USD,ETF
2025-11-10,35.735466,,,,,CNXT,USD,ETF
2025-11-11,35.42377,,,,,CNXT,USD,ETF
2025-11-12,36.089283,,,,,CNXT,USD,ETF
2025-11-13,34.8762,,,,,CNXT,USD,ETF
2025-11-14,34.901474,,,,,CNXT,USD,ETF
2025-11-18,34.850925,,,,,CNXT,USD,ETF
2025-11-19,33.983234,,,,,CNXT,USD,ETF
2025-11-20,33.43566,,,,,CNXT,USD,ETF
2025-11-21,33.610043,,,,,CNXT,USD,ETF
2025-11-24,34.26123,,,,,CNXT,USD,ETF
2025-11-25,34.648746,,,,,CNXT,USD,ETF
2025-11-26,35.255287,,,,,CNXT,USD,ETF
2025-11-28,35.359077,,,,,CNXT,USD,ETF
2025-12-01,35.246273,,,,,CNXT,USD,ETF
2025-12-02,34.884624,,,,,CNXT,USD,ETF
2025-12-03,35.16852,,,,,CNXT,USD,ETF
2025-12-04,35.794437,,,,,CNXT,USD,ETF
2025-12-05,36.358627,,,,,CNXT,USD,ETF
2025-12-08,36.459232,,,,,CNXT,USD,ETF
2025-12-09,37.03768,,,,,CNXT,USD,ETF
2025-12-10,36.43408,,,,,CNXT,USD,ETF
2025-12-11,36.34505,,,,,CNXT,USD,ETF
2025-12-12,35.947845,,,,,CNXT,USD,ETF
2025-12-15,35.61251,,,,,CNXT,USD,ETF
2025-12-16,36.15743,,,,,CNXT,USD,ETF
2025-12-17,35.972996,,,,,CNXT,USD,ETF
2025-12-19,36.43408,,,,,CNXT,USD,ETF
2025-12-22,37.13828,,,,,CNXT,USD,ETF
2025-12-23,37.30595,,,,,CNXT,USD,ETF
2025-12-24,37.649666,,,,,CNXT,USD,ETF
2025-12-26,36.920315,,,,,CNXT,USD,ETF
2025-12-29,37.2808,,,,,CNXT,USD,ETF
2025-12-30,36.693962,,,,,CNXT,USD,ETF
2026-01-06,38.303566,,,,,CNXT,USD,ETF
2026-01-07,36.075577,,,,,CNXT,USD,ETF
2026-01-08,36.50937,,,,,CNXT,USD,ETF
2026-01-09,37.542576,,,,,CNXT,USD,ETF
2026-01-12,36.34374,,,,,CNXT,USD,ETF
