Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,18.598398,1.2892798,0.016071001,EWG,USD,ETF
2025-10-31,18.023407,1.2659683,0.016341465,EWG,USD,ETF
2025-11-07,18.150028,1.2581978,0.016588265,EWG,USD,ETF
2025-11-10,18.244661,1.2815093,0.016357422,EWG,USD,ETF
2025-11-11,18.688074,1.2954962,0.016250303,EWG,USD,ETF
2025-11-12,18.495274,1.282131,0.016074857,EWG,USD,ETF
2025-11-13,18.080935,1.270009,0.016242424,EWG,USD,ETF
2025-11-14,17.7048,1.2435893,0.016397456,EWG,USD,ETF
2025-11-18,17.483545,1.2280483,0.016949153,EWG,USD,ETF
2025-11-19,17.20919,1.2087775,0.016957734,EWG,USD,ETF
2025-11-20,17.66579,1.2246294,0.01722808,EWG,USD,ETF
2025-11-21,17.43487,1.2246294,0.01722808,EWG,USD,ETF
2025-11-24,17.784452,1.249184,0.016974917,EWG,USD,ETF
2025-11-25,18.203833,1.2619276,0.016670814,EWG,USD,ETF
2025-11-26,18.107483,1.2718738,0.016502464,EWG,USD,ETF
2025-11-28,17.930481,1.2594411,0.016373413,EWG,USD,ETF
2025-12-01,18.094208,1.2709415,0.016535044,EWG,USD,ETF
2025-12-02,18.12076,1.2728064,0.016385425,EWG,USD,ETF
2025-12-03,18.445953,1.2787119,0.016361417,EWG,USD,ETF
