Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,15.491926,,,PKW,USD,ETF
2025-10-31,16.754454,,,PKW,USD,ETF
2025-11-07,16.735,,,PKW,USD,ETF
2025-11-10,16.84633,,,PKW,USD,ETF
2025-11-11,16.945545,,,PKW,USD,ETF
2025-11-12,16.75634,,,PKW,USD,ETF
2025-11-13,16.654993,,,PKW,USD,ETF
2025-11-14,16.411861,,,PKW,USD,ETF
2025-11-18,16.437914,,,PKW,USD,ETF
2025-11-19,16.213821,,,PKW,USD,ETF
2025-11-20,16.52979,,,PKW,USD,ETF
2025-11-21,16.645874,,,PKW,USD,ETF
2025-11-24,16.933506,,,PKW,USD,ETF
2025-11-25,17.080278,,,PKW,USD,ETF
2025-11-26,17.13218,,,PKW,USD,ETF
2025-11-28,17.13219,,,PKW,USD,ETF
2025-12-01,17.076004,,,PKW,USD,ETF
2025-12-02,17.21938,,,PKW,USD,ETF
