Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,20.618599,,1.2253729,,0.011841339,IWS,USD,ETF
2025-09-06,19.849371,,1.2289053,,0.011725281,IWS,USD,ETF
2025-09-07,19.849371,,1.2289053,,0.011725281,IWS,USD,ETF
2025-09-08,19.849371,,1.2289053,,0.011725281,IWS,USD,ETF
2025-09-09,19.863632,,1.2297883,,0.011691578,IWS,USD,ETF
2025-09-10,20.362215,,1.2237834,,0.011683183,IWS,USD,ETF
2025-10-31,20.337645,,1.2208692,,0.0118318675,IWS,USD,ETF
2025-11-07,20.374422,,1.2230768,,0.011876779,IWS,USD,ETF
2025-11-10,20.602438,,1.2367648,,0.011668101,IWS,USD,ETF
2025-11-11,20.655397,,1.2399439,,0.011617279,IWS,USD,ETF
2025-11-12,20.321463,,1.2198977,,0.011587493,IWS,USD,ETF
2025-11-13,20.278803,,1.2173369,,0.011777907,IWS,USD,ETF
2025-11-14,19.955164,,1.1979088,,0.011802684,IWS,USD,ETF
2025-11-18,19.937511,,1.1968491,,0.011967635,IWS,USD,ETF
2025-11-19,19.69037,,1.1820134,,0.012004722,IWS,USD,ETF
2025-11-20,20.106684,,1.2070045,,0.012155397,IWS,USD,ETF
2025-11-21,20.23614,,1.2147758,,0.011903717,IWS,USD,ETF
2025-11-24,20.565662,,1.234557,,0.011827566,IWS,USD,ETF
2025-11-25,20.72748,,1.2442709,,0.011638054,IWS,USD,ETF
2025-11-26,20.818687,,1.2497462,,0.011547197,IWS,USD,ETF
2025-11-28,20.695116,,1.2423282,,0.011496608,IWS,USD,ETF
2025-12-01,20.648043,,1.2395023,,0.011565255,IWS,USD,ETF
2025-12-02,20.831926,,1.250541,,0.011591622,IWS,USD,ETF
2025-12-03,20.883415,,1.2536318,,0.011489301,IWS,USD,ETF
2025-12-04,20.899597,,1.2546031,,0.011460974,IWS,USD,ETF
2025-12-05,19.874657,,1.2476267,,0.0114521,IWS,USD,ETF
2025-12-08,19.856369,,1.2464787,,0.011516138,IWS,USD,ETF
2025-12-09,20.170078,,1.2661716,,0.011526745,IWS,USD,ETF
2025-12-10,20.320599,,1.2756206,,0.011347468,IWS,USD,ETF
2025-12-11,20.134909,,1.2639639,,0.011263413,IWS,USD,ETF
2025-12-12,20.110994,,1.2624626,,0.0113672875,IWS,USD,ETF
2025-12-15,19.869032,,1.2472736,,0.01143327,IWS,USD,ETF
2025-12-16,19.832455,,1.2449775,,0.011519399,IWS,USD,ETF
2025-12-17,19.854963,,1.2463903,,0.011540644,IWS,USD,ETF
2025-12-19,19.96047,,1.2530135,,0.011527562,IWS,USD,ETF
