Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,16.43436,,,,,COWZ,USD,ETF
2025-09-06,15.57753,,,,,COWZ,USD,ETF
2025-09-07,15.57753,,,,,COWZ,USD,ETF
2025-09-08,15.57753,,,,,COWZ,USD,ETF
2025-09-09,15.566703,,,,,COWZ,USD,ETF
2025-09-10,15.534222,,,,,COWZ,USD,ETF
2025-10-31,17.093561,,,,,COWZ,USD,ETF
2025-11-07,17.072908,,,,,COWZ,USD,ETF
2025-11-10,17.35613,,,,,COWZ,USD,ETF
2025-11-11,17.403334,,,,,COWZ,USD,ETF
2025-11-12,17.294176,,,,,COWZ,USD,ETF
2025-11-13,17.288275,,,,,COWZ,USD,ETF
2025-11-14,17.067009,,,,,COWZ,USD,ETF
2025-11-18,17.037506,,,,,COWZ,USD,ETF
2025-11-19,16.777887,,,,,COWZ,USD,ETF
2025-11-20,17.126013,,,,,COWZ,USD,ETF
2025-11-21,17.158466,,,,,COWZ,USD,ETF
2025-11-24,17.423986,,,,,COWZ,USD,ETF
2025-11-25,17.533144,,,,,COWZ,USD,ETF
2025-11-26,17.642302,,,,,COWZ,USD,ETF
2025-11-28,17.595098,,,,,COWZ,USD,ETF
2025-12-01,17.586246,,,,,COWZ,USD,ETF
2025-12-02,17.792763,,,,,COWZ,USD,ETF
2025-12-03,17.825214,,,,,COWZ,USD,ETF
2025-12-04,17.89897,,,,,COWZ,USD,ETF
2025-12-05,16.620493,,,,,COWZ,USD,ETF
2025-12-08,16.617739,,,,,COWZ,USD,ETF
2025-12-09,16.854622,,,,,COWZ,USD,ETF
2025-12-10,16.948275,,,,,COWZ,USD,ETF
2025-12-11,16.887676,,,,,COWZ,USD,ETF
2025-12-12,16.906958,,,,,COWZ,USD,ETF
2025-12-15,16.722406,,,,,COWZ,USD,ETF
2025-12-16,16.741688,,,,,COWZ,USD,ETF
2025-12-17,16.689354,,,,,COWZ,USD,ETF
2025-12-19,16.771988,,,,,COWZ,USD,ETF
2025-12-22,16.838095,,,,,COWZ,USD,ETF
2025-12-23,16.89043,,,,,COWZ,USD,ETF
2025-12-24,16.893185,,,,,COWZ,USD,ETF
2025-12-26,16.86013,,,,,COWZ,USD,ETF
2025-12-29,16.704504,,,,,COWZ,USD,ETF
2025-12-30,16.573666,,,,,COWZ,USD,ETF
