Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,16.54048,,0.0,SCHD,USD,ETF
2025-10-31,17.064981,,0.0,SCHD,USD,ETF
2025-11-07,17.045841,,0.0,SCHD,USD,ETF
2025-11-10,17.339296,,0.0,SCHD,USD,ETF
2025-11-11,17.345676,,0.0,SCHD,USD,ETF
2025-11-12,17.364813,,0.0,SCHD,USD,ETF
2025-11-13,17.377573,,0.0,SCHD,USD,ETF
2025-11-14,17.224466,,0.0,SCHD,USD,ETF
2025-11-18,17.179811,,0.0,SCHD,USD,ETF
2025-11-19,16.982048,,0.0,SCHD,USD,ETF
2025-11-20,17.288261,,0.0,SCHD,USD,ETF
2025-11-21,17.19257,,0.0,SCHD,USD,ETF
2025-11-24,17.428608,,0.0,SCHD,USD,ETF
2025-11-25,17.511541,,0.0,SCHD,USD,ETF
2025-11-26,17.600853,,0.0,SCHD,USD,ETF
2025-11-28,17.562576,,0.0,SCHD,USD,ETF
2025-12-01,17.479643,,0.0,SCHD,USD,ETF
2025-12-02,17.734821,,0.0,SCHD,USD,ETF
2025-12-03,17.702925,,0.0,SCHD,USD,ETF
2025-12-04,17.677406,,0.0,SCHD,USD,ETF
2025-12-05,16.407358,,0.0,SCHD,USD,ETF
2025-12-08,16.33597,,0.0,SCHD,USD,ETF
2025-12-09,16.40141,,0.0,SCHD,USD,ETF
2025-12-10,16.466848,,0.0,SCHD,USD,ETF
2025-12-12,16.51444,,0.0,SCHD,USD,ETF
2025-12-15,16.341919,,0.0,SCHD,USD,ETF
2025-12-16,16.419256,,0.0,SCHD,USD,ETF
2025-12-17,16.347868,,0.0,SCHD,USD,ETF
2025-12-19,16.33597,,0.0,SCHD,USD,ETF
2025-12-22,16.383562,,0.0,SCHD,USD,ETF
2025-12-23,16.45495,,0.0,SCHD,USD,ETF
2025-12-24,16.443052,,0.0,SCHD,USD,ETF
2025-12-26,16.431154,,0.0,SCHD,USD,ETF
2025-12-29,16.437103,,0.0,SCHD,USD,ETF
2025-12-30,16.318123,,0.0,SCHD,USD,ETF
2026-01-06,16.710758,,0.0,SCHD,USD,ETF
2026-01-07,17.557453,,0.0,SCHD,USD,ETF
2026-01-08,17.637766,,0.0,SCHD,USD,ETF
2026-01-09,17.606876,,0.0,SCHD,USD,ETF
2026-01-12,17.681011,,0.0,SCHD,USD,ETF
2026-01-13,17.940481,,0.0,SCHD,USD,ETF
2026-01-14,17.934303,,0.0,SCHD,USD,ETF
2026-01-15,17.85399,,0.0,SCHD,USD,ETF
2026-01-16,17.730434,,0.0,SCHD,USD,ETF
2026-01-20,18.008436,,0.0,SCHD,USD,ETF
2026-01-21,18.020792,,0.0,SCHD,USD,ETF
2026-01-22,18.002258,,0.0,SCHD,USD,ETF
2026-01-23,18.02697,,0.0,SCHD,USD,ETF
2026-01-26,18.14435,,0.0,SCHD,USD,ETF
2026-01-27,18.101105,,0.0,SCHD,USD,ETF
2026-01-28,18.14435,,0.0,SCHD,USD,ETF
2026-01-29,18.422354,,0.0,SCHD,USD,ETF
2026-02-02,18.842447,,0.0,SCHD,USD,ETF
2026-02-03,19.157518,,0.0,SCHD,USD,ETF
2026-02-04,19.382708,,0.0,SCHD,USD,ETF
2026-02-05,19.695635,,0.0,SCHD,USD,ETF
2026-02-06,19.620533,,0.0,SCHD,USD,ETF
2026-02-09,19.589241,,0.0,SCHD,USD,ETF
2026-02-10,19.80203,,0.0,SCHD,USD,ETF
2026-02-11,19.614275,,0.0,SCHD,USD,ETF
2026-02-12,19.783257,,0.0,SCHD,USD,ETF
2026-02-13,19.664343,,0.0,SCHD,USD,ETF
2026-02-17,19.751963,,0.0,SCHD,USD,ETF
2026-02-18,19.75822,,0.0,SCHD,USD,ETF
2026-02-19,19.783257,,0.0,SCHD,USD,ETF
2026-02-20,19.733189,,0.0,SCHD,USD,ETF
2026-02-23,19.80203,,0.0,SCHD,USD,ETF
2026-02-24,19.72067,,0.0,SCHD,USD,ETF
2026-02-26,19.883392,,0.0,SCHD,USD,ETF
2026-02-27,19.93972,,0.0,SCHD,USD,ETF
2026-03-02,19.770739,,0.0,SCHD,USD,ETF
2026-03-03,19.739447,,0.0,SCHD,USD,ETF
2026-03-04,19.714428,,0.0,SCHD,USD,ETF
2026-03-05,19.63244,,0.0,SCHD,USD,ETF
2026-03-06,19.563068,,0.0,SCHD,USD,ETF
2026-03-09,19.487389,,0.0,SCHD,USD,ETF
2026-03-10,19.550455,,0.0,SCHD,USD,ETF
2026-03-11,19.436937,,0.0,SCHD,USD,ETF
2026-03-12,19.424324,,0.0,SCHD,USD,ETF
2026-03-13,19.46847,,0.0,SCHD,USD,ETF
2026-03-16,19.518923,,0.0,SCHD,USD,ETF
2026-03-17,19.285578,,0.0,SCHD,USD,ETF
2026-03-18,19.291885,,0.0,SCHD,USD,ETF
2026-03-19,19.165752,,0.0,SCHD,USD,ETF
2026-03-20,19.260353,,0.0,SCHD,USD,ETF
2026-03-23,19.323418,,0.0,SCHD,USD,ETF
