Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,29.257229,,,,0.0,MTUM,USD,ETF
2025-09-06,30.822222,,,,0.0,MTUM,USD,ETF
2025-09-07,30.822222,,,,0.0,MTUM,USD,ETF
2025-09-08,30.822222,,,,0.0,MTUM,USD,ETF
2025-09-09,31.097261,,,,0.0,MTUM,USD,ETF
2025-09-10,31.277222,,,,0.0,MTUM,USD,ETF
2025-10-31,31.558887,,,,0.0,MTUM,USD,ETF
2025-11-07,30.80908,,,,0.0,MTUM,USD,ETF
2025-11-10,31.254745,,,,0.0,MTUM,USD,ETF
2025-11-11,31.232399,,,,0.0,MTUM,USD,ETF
2025-11-12,30.512386,,,,0.0,MTUM,USD,ETF
2025-11-13,30.547146,,,,0.0,MTUM,USD,ETF
