Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,17.47017,,1.0979598,,0.010091151,IJS,USD,ETF
2025-09-06,16.03865,,1.1048169,,0.009920347,IJS,USD,ETF
2025-09-07,16.03865,,1.1048169,,0.009920347,IJS,USD,ETF
2025-09-08,16.03865,,1.1048169,,0.009920347,IJS,USD,ETF
2025-09-09,15.995369,,1.1018356,,0.009858775,IJS,USD,ETF
2025-09-10,15.846769,,1.0915993,,0.009885451,IJS,USD,ETF
2025-10-31,16.86651,,1.095177,,0.009966354,IJS,USD,ETF
2025-11-07,16.894058,,1.0969659,,0.010042148,IJS,USD,ETF
2025-11-10,17.198637,,1.1167427,,0.009802343,IJS,USD,ETF
2025-11-11,17.221594,,1.1182333,,0.009753493,IJS,USD,ETF
2025-11-12,16.854265,,1.094382,,0.0097404905,IJS,USD,ETF
2025-11-13,16.86345,,1.0949783,,0.009952778,IJS,USD,ETF
2025-11-14,16.476223,,1.069835,,0.009947359,IJS,USD,ETF
2025-11-18,16.395105,,1.0645678,,0.010205791,IJS,USD,ETF
2025-11-19,16.027777,,1.0407163,,0.010231515,IJS,USD,ETF
2025-11-20,16.548159,,1.0745058,,0.010466004,IJS,USD,ETF
2025-11-21,16.763964,,1.0885185,,0.010136885,IJS,USD,ETF
2025-11-24,17.218533,,1.1180346,,0.0100063905,IJS,USD,ETF
2025-11-25,17.32414,,1.1248919,,0.009742222,IJS,USD,ETF
2025-11-26,17.350159,,1.1265814,,0.009682833,IJS,USD,ETF
2025-11-28,17.314957,,1.1242956,,0.009668313,IJS,USD,ETF
2025-12-01,17.318018,,1.1244944,,0.009687969,IJS,USD,ETF
2025-12-02,17.564434,,1.1404947,,0.009686257,IJS,USD,ETF
2025-12-03,17.483316,,1.1352276,,0.009550366,IJS,USD,ETF
2025-12-04,17.484846,,1.1353269,,0.009594677,IJS,USD,ETF
2025-12-05,15.852159,,1.1313516,,0.009593837,IJS,USD,ETF
2025-12-08,15.932924,,1.1371157,,0.009627547,IJS,USD,ETF
2025-12-09,16.303328,,1.1635511,,0.009578745,IJS,USD,ETF
2025-12-10,16.463465,,1.1749799,,0.00936112,IJS,USD,ETF
2025-12-11,16.301935,,1.1634517,,0.009270066,IJS,USD,ETF
2025-12-12,16.249022,,1.1596752,,0.00936192,IJS,USD,ETF
2025-12-15,16.05268,,1.1456625,,0.009436399,IJS,USD,ETF
2025-12-16,16.05268,,1.1456625,,0.009507286,IJS,USD,ETF
2025-12-17,16.072174,,1.1470538,,0.009507286,IJS,USD,ETF
2025-12-19,16.072174,,1.1470538,,0.009495755,IJS,USD,ETF
2025-12-22,16.022043,,1.1434761,,0.009464594,IJS,USD,ETF
2025-12-23,16.10838,,1.1496377,,0.009525465,IJS,USD,ETF
2025-12-24,16.115341,,1.1501347,,0.009474412,IJS,USD,ETF
2025-12-26,16.05268,,1.1456625,,0.009470318,IJS,USD,ETF
2025-12-29,15.981661,,1.140594,,0.009507286,IJS,USD,ETF
2025-12-30,15.83545,,1.1301591,,0.009549534,IJS,USD,ETF
2026-01-06,16.46068,,1.1747811,,0.009424713,IJS,USD,ETF
2026-01-07,15.337339,,1.1877006,,0.009360321,IJS,USD,ETF
2026-01-08,15.455408,,1.1968436,,0.00917078,IJS,USD,ETF
2026-01-09,15.455408,,1.1968436,,0.009424713,IJS,USD,ETF
2026-01-12,15.39509,,1.1921728,,0.009100722,IJS,USD,ETF
2026-01-13,15.493909,,1.1998252,,0.009144001,IJS,USD,ETF
