Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,127.85715,0.8686609,0.024691358,AGG,USD,ETF
2025-10-31,128.2398,0.8712607,0.024652088,AGG,USD,ETF
2025-11-07,127.80612,0.86831427,0.024740623,AGG,USD,ETF
2025-11-10,128.13776,0.8705674,0.024760382,AGG,USD,ETF
2025-11-11,128.08673,0.8702208,0.024686443,AGG,USD,ETF
2025-11-12,127.70409,0.86762106,0.024696276,AGG,USD,ETF
2025-11-13,127.551025,0.86658114,0.024770275,AGG,USD,ETF
2025-11-14,127.57653,0.8667544,0.0248,AGG,USD,ETF
2025-11-18,127.65307,0.8672744,0.024780175,AGG,USD,ETF
2025-11-19,127.80612,0.86831427,0.024780175,AGG,USD,ETF
2025-11-20,128.11226,0.8703941,0.024750499,AGG,USD,ETF
2025-11-21,128.36736,0.87212723,0.024691358,AGG,USD,ETF
2025-11-24,128.57144,0.8735138,0.02464229,AGG,USD,ETF
2025-11-25,128.77551,0.8749003,0.024603173,AGG,USD,ETF
2025-11-26,128.59694,0.8736871,0.024564184,AGG,USD,ETF
2025-11-28,127.62755,0.8671011,0.024678089,AGG,USD,ETF
2025-12-01,127.79337,0.86822766,0.02478513,AGG,USD,ETF
2025-12-02,128.03572,0.8698741,0.024752969,AGG,USD,ETF
2025-12-03,127.72959,0.86779433,0.024706118,AGG,USD,ETF
2025-12-04,127.58929,0.8668411,0.02476533,AGG,USD,ETF
2025-12-05,127.38521,0.8654546,0.024792563,AGG,USD,ETF
2025-12-08,127.27041,0.8646746,0.024832282,AGG,USD,ETF
2025-12-09,127.67857,0.8674477,0.02485468,AGG,USD,ETF
2025-12-10,127.70409,0.86762106,0.024775226,AGG,USD,ETF
2025-12-11,127.30867,0.8649346,0.024770275,AGG,USD,ETF
2025-12-12,127.43623,0.8658012,0.024847211,AGG,USD,ETF
2025-12-15,127.67857,0.8674477,0.02482234,AGG,USD,ETF
2025-12-16,127.64031,0.86718774,0.024775226,AGG,USD,ETF
2025-12-17,127.95919,0.8693542,0.024782652,AGG,USD,ETF
2025-12-19,127.34694,0.86519456,0.024803473,AGG,USD,ETF
2025-12-22,127.29593,0.864848,0.024849698,AGG,USD,ETF
2025-12-23,127.57653,0.8667544,0.024849698,AGG,USD,ETF
2025-12-24,127.60204,0.8669278,0.024795042,AGG,USD,ETF
2025-12-26,127.75511,0.8679677,0.024790084,AGG,USD,ETF
2025-12-29,127.70409,0.86762106,0.024760382,AGG,USD,ETF
2025-12-30,127.39796,0.8655412,0.024770275,AGG,USD,ETF
2026-01-06,127.57653,0.8667544,0.024790084,AGG,USD,ETF
2026-01-07,127.474495,0.8660612,0.024770275,AGG,USD,ETF
2026-01-08,127.75511,0.8679677,0.024814889,AGG,USD,ETF
2026-01-09,127.75511,0.8679677,0.024790084,AGG,USD,ETF
2026-01-12,127.69133,0.8675344,0.024760382,AGG,USD,ETF
2026-01-13,127.99745,0.8696142,0.024750499,AGG,USD,ETF
2026-01-14,127.831635,0.8684876,0.024713503,AGG,USD,ETF
2026-01-15,127.6148,0.86701447,0.02474556,AGG,USD,ETF
2026-01-16,127.130104,0.86372143,0.024787605,AGG,USD,ETF
2026-01-20,127.551025,0.86658114,0.024882112,AGG,USD,ETF
2026-01-21,127.57653,0.8667544,0.0248,AGG,USD,ETF
2026-01-22,127.69133,0.8675344,0.024795042,AGG,USD,ETF
2026-01-23,127.88266,0.86883426,0.02477275,AGG,USD,ETF
2026-01-26,127.79337,0.86822766,0.024735687,AGG,USD,ETF
2026-01-27,127.742355,0.867881,0.024752969,AGG,USD,ETF
2026-01-28,127.742355,0.867881,0.024762856,AGG,USD,ETF
2026-01-29,127.716835,0.86770767,0.024762856,AGG,USD,ETF
2026-02-02,127.168365,0.86398137,0.024877118,AGG,USD,ETF
2026-02-03,127.09184,0.86346143,0.024874626,AGG,USD,ETF
2026-02-04,127.64031,0.86718774,0.024889603,AGG,USD,ETF
2026-02-05,127.716835,0.86770767,0.024782652,AGG,USD,ETF
2026-02-06,127.75511,0.8679677,0.024767803,AGG,USD,ETF
2026-02-09,128.125,0.8704807,0.024760382,AGG,USD,ETF
2026-02-10,127.831635,0.8684876,0.024688901,AGG,USD,ETF
2026-02-11,128.40561,0.87238723,0.02474556,AGG,USD,ETF
2026-02-12,128.81378,0.8751603,0.024634946,AGG,USD,ETF
2026-02-13,128.82654,0.87524694,0.024556888,AGG,USD,ETF
2026-02-17,128.64796,0.87403375,0.024554456,AGG,USD,ETF
2026-02-18,128.67346,0.874207,0.024588538,AGG,USD,ETF
2026-02-19,128.69899,0.87438035,0.024583664,AGG,USD,ETF
2026-02-20,128.95409,0.87611353,0.024578791,AGG,USD,ETF
2026-02-23,128.94133,0.8760268,0.024530169,AGG,USD,ETF
2026-02-24,128.87755,0.8755936,0.024532596,AGG,USD,ETF
2026-02-25,129.08163,0.87698007,0.024544735,AGG,USD,ETF
2026-02-26,129.33675,0.8787133,0.02450593,AGG,USD,ETF
2026-02-27,128.41837,0.8724739,0.02453405,AGG,USD,ETF
2026-03-02,128.27806,0.87152064,0.024632499,AGG,USD,ETF
2026-03-03,128.22704,0.871174,0.024659442,AGG,USD,ETF
2026-03-04,127.85715,0.8686609,0.024669254,AGG,USD,ETF
2026-03-05,127.70409,0.86762106,0.024740623,AGG,USD,ETF
2026-03-06,128.11226,0.8703941,0.024770275,AGG,USD,ETF
2026-03-09,127.69133,0.8675344,0.024691358,AGG,USD,ETF
