Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,13.042355,,,,,IEVL.MI,EUR,ETF
2025-09-06,13.0006,,,,,IEVL.MI,EUR,ETF
2025-09-10,13.10376,,,,,IEVL.MI,EUR,ETF
2025-10-30,13.960084,,,,,IEVL.MI,EUR,ETF
2025-11-06,13.929834,,,,,IEVL.MI,EUR,ETF
2025-11-09,14.343243,,,,,IEVL.MI,EUR,ETF
2025-11-10,14.50205,,,,,IEVL.MI,EUR,ETF
2025-11-11,14.436512,,,,,IEVL.MI,EUR,ETF
2025-11-12,14.229807,,,,,IEVL.MI,EUR,ETF
2025-11-13,14.156705,,,,,IEVL.MI,EUR,ETF
2025-11-17,13.831524,,,,,IEVL.MI,EUR,ETF
2025-11-18,13.839086,,,,,IEVL.MI,EUR,ETF
2025-11-19,13.8617735,,,,,IEVL.MI,EUR,ETF
2025-11-20,13.960084,,,,,IEVL.MI,EUR,ETF
2025-11-23,14.17435,,,,,IEVL.MI,EUR,ETF
2025-11-24,14.282743,,,,,IEVL.MI,EUR,ETF
2025-11-25,14.328117,,,,,IEVL.MI,EUR,ETF
2025-11-26,14.373492,,,,,IEVL.MI,EUR,ETF
2025-11-27,14.365929,,,,,IEVL.MI,EUR,ETF
2025-11-30,14.459198,,,,,IEVL.MI,EUR,ETF
2025-12-01,14.451635,,,,,IEVL.MI,EUR,ETF
2025-12-02,14.570113,,,,,IEVL.MI,EUR,ETF
2025-12-03,14.572634,,,,,IEVL.MI,EUR,ETF
2025-12-04,14.602883,,,,,IEVL.MI,EUR,ETF
2025-12-08,13.899706,,,,,IEVL.MI,EUR,ETF
2025-12-09,14.034003,,,,,IEVL.MI,EUR,ETF
2025-12-10,13.945271,,,,,IEVL.MI,EUR,ETF
2025-12-11,14.019614,,,,,IEVL.MI,EUR,ETF
2025-12-14,13.981243,,,,,IEVL.MI,EUR,ETF
2025-12-15,13.993234,,,,,IEVL.MI,EUR,ETF
2025-12-16,14.091558,,,,,IEVL.MI,EUR,ETF
2025-12-18,14.134726,,,,,IEVL.MI,EUR,ETF
2025-12-22,14.144317,,,,,IEVL.MI,EUR,ETF
