Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-09,14.619286,,,IDOG,USD,ETF
2025-09-10,14.560727,,,IDOG,USD,ETF
2025-09-11,14.50387,,,IDOG,USD,ETF
2025-09-12,14.695986,,,IDOG,USD,ETF
2025-09-13,14.586889,,,IDOG,USD,ETF
2025-10-31,14.656996,,,IDOG,USD,ETF
2025-11-07,14.781635,,,IDOG,USD,ETF
2025-11-10,15.096224,,,IDOG,USD,ETF
2025-11-11,15.128081,,,IDOG,USD,ETF
2025-11-12,15.112153,,,IDOG,USD,ETF
2025-11-13,15.068349,,,IDOG,USD,ETF
2025-11-14,14.917028,,,IDOG,USD,ETF
2025-11-18,14.641386,,,IDOG,USD,ETF
2025-11-19,14.522799,,,IDOG,USD,ETF
2025-11-20,14.705976,,,IDOG,USD,ETF
2025-11-21,14.674118,,,IDOG,USD,ETF
2025-11-24,14.8891535,,,IDOG,USD,ETF
2025-11-25,14.976761,,,IDOG,USD,ETF
2025-11-26,15.03251,,,IDOG,USD,ETF
2025-11-28,15.029722,,,IDOG,USD,ETF
2025-12-01,15.040474,,,IDOG,USD,ETF
2025-12-02,15.158744,,,IDOG,USD,ETF
2025-12-03,15.132063,,,IDOG,USD,ETF
2025-12-04,15.162047,,,IDOG,USD,ETF
2025-12-05,14.639957,,,IDOG,USD,ETF
2025-12-08,14.682404,,,IDOG,USD,ETF
2025-12-09,14.836946,,,IDOG,USD,ETF
2025-12-10,14.960232,,,IDOG,USD,ETF
2025-12-11,14.894632,,,IDOG,USD,ETF
2025-12-12,15.025829,,,IDOG,USD,ETF
2025-12-15,14.960232,,,IDOG,USD,ETF
2025-12-16,14.852188,,,IDOG,USD,ETF
2025-12-17,14.686263,,,IDOG,USD,ETF
2025-12-19,14.778872,,,IDOG,USD,ETF
2025-12-22,14.852188,,,IDOG,USD,ETF
2025-12-23,14.883057,,,IDOG,USD,ETF
2025-12-24,14.903508,,,IDOG,USD,ETF
2025-12-26,14.8704,,,IDOG,USD,ETF
2025-12-29,14.942095,,,IDOG,USD,ETF
2025-12-30,14.879199,,,IDOG,USD,ETF
2026-01-06,15.087568,,,IDOG,USD,ETF
2026-01-07,13.779091,,,IDOG,USD,ETF
2026-01-08,13.829889,,,IDOG,USD,ETF
2026-01-09,13.890222,,,IDOG,USD,ETF
2026-01-12,13.767926,,,IDOG,USD,ETF
2026-01-13,13.913262,,,IDOG,USD,ETF
2026-01-14,13.849456,,,IDOG,USD,ETF
2026-01-15,13.785615,,,IDOG,USD,ETF
2026-01-16,13.611957,,,IDOG,USD,ETF
2026-01-20,13.8742695,,,IDOG,USD,ETF
2026-01-21,13.980613,,,IDOG,USD,ETF
2026-01-22,14.1153145,,,IDOG,USD,ETF
2026-01-23,14.209215,,,IDOG,USD,ETF
2026-01-26,14.391807,,,IDOG,USD,ETF
2026-01-27,14.303187,,,IDOG,USD,ETF
2026-01-28,14.395352,,,IDOG,USD,ETF
2026-01-29,14.26774,,,IDOG,USD,ETF
2026-02-02,14.537143,,,IDOG,USD,ETF
2026-02-03,14.792367,,,IDOG,USD,ETF
2026-02-04,14.017502,,,IDOG,USD,ETF
2026-02-05,14.499164,,,IDOG,USD,ETF
2026-02-06,14.632022,,,IDOG,USD,ETF
2026-02-09,14.647896,,,IDOG,USD,ETF
2026-02-10,14.775371,,,IDOG,USD,ETF
2026-02-11,14.614541,,,IDOG,USD,ETF
2026-02-12,14.590067,,,IDOG,USD,ETF
2026-02-13,14.656496,,,IDOG,USD,ETF
2026-02-17,14.635519,,,IDOG,USD,ETF
2026-02-18,14.701948,,,IDOG,USD,ETF
2026-02-19,14.803341,,,IDOG,USD,ETF
2026-02-20,14.726422,,,IDOG,USD,ETF
2026-02-23,14.782363,,,IDOG,USD,ETF
2026-02-24,14.883756,,,IDOG,USD,ETF
2026-02-25,14.852289,,,IDOG,USD,ETF
2026-02-26,14.960675,,,IDOG,USD,ETF
2026-02-27,14.789355,,,IDOG,USD,ETF
2026-03-02,14.415252,,,IDOG,USD,ETF
2026-03-03,14.467696,,,IDOG,USD,ETF
2026-03-04,14.938264,,,IDOG,USD,ETF
2026-03-05,14.927285,,,IDOG,USD,ETF
2026-03-06,14.89713,,,IDOG,USD,ETF
2026-03-09,14.927285,,,IDOG,USD,ETF
2026-03-10,15.023897,,,IDOG,USD,ETF
2026-03-11,14.865072,,,IDOG,USD,ETF
2026-03-12,14.769925,,0.0,IDOG,USD,ETF
2026-03-13,14.988766,,0.0,IDOG,USD,ETF
2026-03-16,15.157836,,0.0,IDOG,USD,ETF
2026-03-17,14.908988,,0.0,IDOG,USD,ETF
2026-03-18,15.011455,,0.0,IDOG,USD,ETF
2026-03-19,14.580359,,0.0,IDOG,USD,ETF
2026-03-20,14.799201,,0.0,IDOG,USD,ETF
2026-03-23,14.839456,,0.0,IDOG,USD,ETF
2026-03-24,15.024336,,0.0,IDOG,USD,ETF
2026-03-25,14.865072,,0.0,IDOG,USD,ETF
2026-03-26,14.821158,,0.0,IDOG,USD,ETF
2026-03-27,14.874258,,0.0,IDOG,USD,ETF
2026-03-30,15.242738,,0.0,IDOG,USD,ETF
2026-03-31,15.340813,,0.0,IDOG,USD,ETF
2026-04-01,15.410345,,0.0,IDOG,USD,ETF
2026-04-02,15.490856,,0.0,IDOG,USD,ETF
2026-04-06,14.732906,,0.0,IDOG,USD,ETF
2026-04-07,14.912576,,0.0,IDOG,USD,ETF
2026-04-08,14.916031,,0.0,IDOG,USD,ETF
2026-04-10,15.030052,,0.0,IDOG,USD,ETF
2026-04-13,14.998956,,0.0,IDOG,USD,ETF
2026-04-14,15.023142,,0.0,IDOG,USD,ETF
2026-04-15,15.026598,,0.0,IDOG,USD,ETF
2026-04-16,14.98168,,0.0,IDOG,USD,ETF
2026-04-17,15.030052,,0.0,IDOG,USD,ETF
2026-04-20,14.767459,,0.0,IDOG,USD,ETF
2026-04-21,14.819285,,0.0,IDOG,USD,ETF
2026-04-22,14.646526,,0.0,IDOG,USD,ETF
2026-04-23,14.743271,,0.0,IDOG,USD,ETF
2026-04-24,14.697906,,0.0,IDOG,USD,ETF
2026-04-27,14.690823,,0.0,IDOG,USD,ETF
2026-04-28,14.568854,,0.0,IDOG,USD,ETF
2026-04-29,14.864203,,0.0,IDOG,USD,ETF
2026-04-30,14.784735,,0.0,IDOG,USD,ETF
2026-05-01,14.650017,,0.0,IDOG,USD,ETF
