Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,34.284393,,,ITA,USD,ETF
2025-10-31,38.192783,,,ITA,USD,ETF
2025-11-07,36.998096,,,ITA,USD,ETF
2025-11-10,37.258274,,,ITA,USD,ETF
2025-11-11,37.104294,,,ITA,USD,ETF
2025-11-12,36.290134,,,ITA,USD,ETF
2025-11-13,36.44943,,,ITA,USD,ETF
2025-11-14,36.072437,,,ITA,USD,ETF
2025-11-18,35.952084,,,ITA,USD,ETF
2025-11-19,35.180405,,,ITA,USD,ETF
2025-11-20,35.08483,,,ITA,USD,ETF
2025-11-21,35.52023,,,ITA,USD,ETF
2025-11-24,35.82288,,,ITA,USD,ETF
2025-11-25,36.052967,,,ITA,USD,ETF
2025-11-26,36.30076,,,ITA,USD,ETF
2025-11-28,35.26359,,,ITA,USD,ETF
2025-12-01,35.629963,,,ITA,USD,ETF
2025-12-02,35.684826,,,ITA,USD,ETF
2025-12-03,36.224648,,,ITA,USD,ETF
2025-12-04,35.824654,,,ITA,USD,ETF
2025-12-05,35.281277,,,ITA,USD,ETF
2025-12-08,34.984318,,,ITA,USD,ETF
2025-12-09,35.296814,,,ITA,USD,ETF
2025-12-10,35.95807,,,ITA,USD,ETF
2025-12-11,36.154892,,,ITA,USD,ETF
2025-12-12,36.1946,,,ITA,USD,ETF
2025-12-15,35.90282,,,ITA,USD,ETF
2025-12-16,35.35897,,,ITA,USD,ETF
2025-12-17,35.954617,,,ITA,USD,ETF
2025-12-19,36.931824,,,ITA,USD,ETF
2025-12-22,37.929745,,,ITA,USD,ETF
2025-12-23,38.017796,,,ITA,USD,ETF
2025-12-24,37.65005,,,ITA,USD,ETF
2025-12-26,37.465313,,,ITA,USD,ETF
2025-12-29,37.351364,,,ITA,USD,ETF
2025-12-30,37.06649,,,ITA,USD,ETF
2026-01-06,39.746037,,,ITA,USD,ETF
2026-01-07,38.451588,,,ITA,USD,ETF
2026-01-08,39.388237,,,ITA,USD,ETF
2026-01-09,39.993507,,,ITA,USD,ETF
2026-01-12,40.160885,,,ITA,USD,ETF
2026-01-13,40.43478,,,ITA,USD,ETF
2026-01-14,40.781376,,,ITA,USD,ETF
2026-01-15,41.214195,,,ITA,USD,ETF
2026-01-16,40.221752,,,ITA,USD,ETF
2026-01-20,40.622448,,,ITA,USD,ETF
2026-01-21,39.870087,,,ITA,USD,ETF
2026-01-22,39.743286,,,ITA,USD,ETF
2026-01-23,39.457558,,,ITA,USD,ETF
2026-01-26,40.07297,,,ITA,USD,ETF
2026-01-27,39.509968,,,ITA,USD,ETF
2026-01-28,39.356113,,,ITA,USD,ETF
2026-01-29,39.288486,,,ITA,USD,ETF
2026-02-02,39.645226,,,ITA,USD,ETF
2026-02-03,38.54796,,,ITA,USD,ETF
2026-02-04,37.828194,,,ITA,USD,ETF
2026-02-05,39.124367,,,ITA,USD,ETF
2026-02-06,39.276566,,,ITA,USD,ETF
2026-02-09,39.003952,,,ITA,USD,ETF
2026-02-10,38.62597,,,ITA,USD,ETF
2026-02-11,38.89022,,,ITA,USD,ETF
2026-02-12,39.28158,,,ITA,USD,ETF
2026-02-13,39.8335,,,ITA,USD,ETF
2026-02-17,40.193085,,,ITA,USD,ETF
2026-02-18,40.723263,,,ITA,USD,ETF
2026-02-19,40.75002,,,ITA,USD,ETF
2026-02-20,40.350296,,,ITA,USD,ETF
2026-02-23,40.659706,,,ITA,USD,ETF
2026-02-24,40.34361,,,ITA,USD,ETF
2026-02-25,40.611206,,,ITA,USD,ETF
2026-02-26,40.76173,,,ITA,USD,ETF
2026-02-27,41.909054,,,ITA,USD,ETF
2026-03-02,40.97246,,,ITA,USD,ETF
2026-03-03,41.305286,,,ITA,USD,ETF
2026-03-04,38.193306,,,ITA,USD,ETF
2026-03-05,40.51808,,,ITA,USD,ETF
2026-03-06,40.482952,,,ITA,USD,ETF
2026-03-09,40.1032,,,ITA,USD,ETF
2026-03-10,39.929214,,,ITA,USD,ETF
2026-03-11,38.726387,,,ITA,USD,ETF
2026-03-12,38.366707,,,ITA,USD,ETF
2026-03-13,38.947212,,,ITA,USD,ETF
2026-03-16,38.962265,,,ITA,USD,ETF
2026-03-17,38.716347,,,ITA,USD,ETF
