Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,11.708603,,,,0.0,EIDO,USD,ETF
2025-09-06,11.926828,,,,0.0,EIDO,USD,ETF
2025-09-10,12.090274,,,,0.0,EIDO,USD,ETF
2025-10-31,13.052574,,,,0.0,EIDO,USD,ETF
2025-11-07,13.231084,,,,0.0,EIDO,USD,ETF
2025-11-10,13.173961,,,,0.0,EIDO,USD,ETF
2025-11-11,13.166821,,,,0.0,EIDO,USD,ETF
2025-11-12,13.052574,,,,0.0,EIDO,USD,ETF
2025-11-13,13.123977,,,,0.0,EIDO,USD,ETF
2025-11-18,13.195381,,,,0.0,EIDO,USD,ETF
2025-11-19,13.088276,,,,0.0,EIDO,USD,ETF
2025-11-20,13.1168375,,,,0.0,EIDO,USD,ETF
2025-11-21,13.409593,,,,0.0,EIDO,USD,ETF
2025-11-24,13.37389,,,,0.0,EIDO,USD,ETF
2025-11-25,13.473856,,,,0.0,EIDO,USD,ETF
2025-11-26,13.331048,,,,0.0,EIDO,USD,ETF
2025-11-28,13.416733,,,,0.0,EIDO,USD,ETF
2025-12-01,13.509557,,,,0.0,EIDO,USD,ETF
2025-12-02,13.445293,,,,0.0,EIDO,USD,ETF
2025-12-03,13.416733,,,,0.0,EIDO,USD,ETF
2025-12-04,13.438153,,,,0.0,EIDO,USD,ETF
2025-12-05,13.198125,,,,0.0,EIDO,USD,ETF
2025-12-08,13.065233,,,,0.0,EIDO,USD,ETF
2025-12-09,13.191131,,,,0.0,EIDO,USD,ETF
2025-12-10,13.065233,,,,0.0,EIDO,USD,ETF
2025-12-11,13.121187,,,,0.0,EIDO,USD,ETF
2025-12-12,13.191131,,,,0.0,EIDO,USD,ETF
2025-12-15,13.058239,,,,0.0,EIDO,USD,ETF
2025-12-16,13.00928,,,,0.0,EIDO,USD,ETF
2025-12-17,13.030262,,,,0.0,EIDO,USD,ETF
2025-12-19,12.995291,,,,0.0,EIDO,USD,ETF
2025-12-22,12.981302,,,,0.0,EIDO,USD,ETF
2025-12-23,12.9043665,,,,0.0,EIDO,USD,ETF
2025-12-24,12.918354,,,,0.0,EIDO,USD,ETF
2025-12-26,13.058239,,,,0.0,EIDO,USD,ETF
2025-12-30,13.079223,,,,0.0,EIDO,USD,ETF
2026-01-06,13.345003,,,,0.0,EIDO,USD,ETF
2026-01-07,13.088129,,,,0.0,EIDO,USD,ETF
2026-01-08,13.101913,,,,0.0,EIDO,USD,ETF
2026-01-09,13.088129,,,,0.0,EIDO,USD,ETF
2026-01-12,13.115698,,,,0.0,EIDO,USD,ETF
2026-01-13,13.19151,,,,0.0,EIDO,USD,ETF
2026-01-14,13.246648,,,,0.0,EIDO,USD,ETF
2026-01-15,13.19151,,,,0.0,EIDO,USD,ETF
2026-01-16,13.184618,,,,0.0,EIDO,USD,ETF
2026-01-20,13.053669,,,,0.0,EIDO,USD,ETF
2026-01-21,13.129481,,,,0.0,EIDO,USD,ETF
2026-01-22,13.101913,,,,0.0,EIDO,USD,ETF
2026-01-23,13.232864,,,,0.0,EIDO,USD,ETF
2026-01-26,13.21908,,,,0.0,EIDO,USD,ETF
2026-01-27,11.895793,,,,0.0,EIDO,USD,ETF
2026-01-28,12.116341,,,,0.0,EIDO,USD,ETF
2026-01-29,12.164585,,,,0.0,EIDO,USD,ETF
2026-02-02,12.123233,,,,0.0,EIDO,USD,ETF
2026-02-03,12.261076,,,,0.0,EIDO,USD,ETF
2026-02-04,12.380732,,,,0.0,EIDO,USD,ETF
2026-02-05,12.444367,,,,0.0,EIDO,USD,ETF
2026-02-09,12.550427,,,,0.0,EIDO,USD,ETF
2026-02-10,12.79083,,,,0.0,EIDO,USD,ETF
2026-02-11,12.649416,,,,0.0,EIDO,USD,ETF
2026-02-12,12.5645685,,,,0.0,EIDO,USD,ETF
2026-02-13,12.599921,,,,0.0,EIDO,USD,ETF
2026-02-17,12.635276,,,,0.0,EIDO,USD,ETF
2026-02-18,12.606993,,,,0.0,EIDO,USD,ETF
2026-02-19,12.769617,,,,0.0,EIDO,USD,ETF
2026-02-20,12.804972,,,,0.0,EIDO,USD,ETF
2026-02-23,12.691841,,,,0.0,EIDO,USD,ETF
2026-02-24,12.882748,,,,0.0,EIDO,USD,ETF
2026-02-25,12.649416,,,,0.0,EIDO,USD,ETF
2026-02-26,12.599921,,,,0.0,EIDO,USD,ETF
2026-02-27,12.387802,,,,0.0,EIDO,USD,ETF
2026-03-02,12.126187,,,,0.0,EIDO,USD,ETF
2026-03-03,11.928209,,,,0.0,EIDO,USD,ETF
2026-03-04,11.280704,,,,0.0,EIDO,USD,ETF
2026-03-05,11.278068,,,,0.0,EIDO,USD,ETF
2026-03-06,11.41026,,,,0.0,EIDO,USD,ETF
2026-03-09,11.354601,,,,0.0,EIDO,USD,ETF
2026-03-10,11.250238,,,,0.0,EIDO,USD,ETF
2026-03-11,11.034556,,,,0.0,EIDO,USD,ETF
2026-03-12,10.798003,,,,0.0,EIDO,USD,ETF
2026-03-13,10.721471,,,,0.0,EIDO,USD,ETF
2026-03-16,10.83279,,,,0.0,EIDO,USD,ETF
2026-03-17,10.707556,,,,0.0,EIDO,USD,ETF
2026-03-18,10.665811,,,,0.0,EIDO,USD,ETF
2026-03-19,10.519704,,,,0.0,EIDO,USD,ETF
2026-03-20,10.735386,,,,0.0,EIDO,USD,ETF
2026-03-23,10.624066,,,,0.0,EIDO,USD,ETF
2026-03-24,11.125004,,,,0.0,EIDO,USD,ETF
2026-03-25,10.86062,,,,0.0,EIDO,USD,ETF
2026-03-26,10.707556,,,,0.0,EIDO,USD,ETF
2026-03-27,10.756258,,,,0.0,EIDO,USD,ETF
2026-03-30,10.985855,,,,0.0,EIDO,USD,ETF
2026-03-31,10.978897,,,,0.0,EIDO,USD,ETF
2026-04-01,10.811917,,,,0.0,EIDO,USD,ETF
2026-04-02,10.700599,,,,0.0,EIDO,USD,ETF
2026-04-06,11.227842,,,,0.0,EIDO,USD,ETF
2026-04-07,11.706721,,,,0.0,EIDO,USD,ETF
2026-04-08,11.691986,,,,0.0,EIDO,USD,ETF
