Date,trailingPE,priceToBook,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-10,11.107341,0.9183093,0.04702609,HYG,USD,ETF
2025-10-31,11.110092,0.9185367,0.04706683,HYG,USD,ETF
2025-11-07,11.045466,0.9131937,0.047383502,HYG,USD,ETF
2025-11-10,11.094967,0.9172862,0.04718362,HYG,USD,ETF
2025-11-11,11.072966,0.91546726,0.047130994,HYG,USD,ETF
2025-11-12,11.027591,0.9117158,0.047224637,HYG,USD,ETF
2025-11-13,11.030341,0.91194326,0.047418956,HYG,USD,ETF
2025-11-14,11.0124655,0.91046536,0.047407128,HYG,USD,ETF
2025-11-18,11.020716,0.9111475,0.047472224,HYG,USD,ETF
2025-11-19,11.013841,0.910579,0.047448535,HYG,USD,ETF
2025-11-20,11.050966,0.9136484,0.047478154,HYG,USD,ETF
2025-11-21,11.081216,0.9161493,0.04731865,HYG,USD,ETF
2025-11-24,11.119717,0.91933244,0.047189478,HYG,USD,ETF
2025-11-25,11.130716,0.92024183,0.04702609,HYG,USD,ETF
2025-11-26,11.136216,0.92069656,0.046979617,HYG,USD,ETF
2025-11-28,11.064716,0.91478527,0.04717473,HYG,USD,ETF
2025-12-01,11.085341,0.91649044,0.04725985,HYG,USD,ETF
2025-12-02,11.094967,0.9172862,0.047171917,HYG,USD,ETF
2025-12-03,11.103216,0.9179683,0.047130994,HYG,USD,ETF
2025-12-04,11.103216,0.9179683,0.047095973,HYG,USD,ETF
2025-12-05,11.075717,0.9156947,0.047095973,HYG,USD,ETF
2025-12-08,11.063341,0.91467154,0.04721291,HYG,USD,ETF
2025-12-09,11.100467,0.91774094,0.047265723,HYG,USD,ETF
2025-12-10,11.099092,0.9176272,0.04710764,HYG,USD,ETF
2025-12-11,11.078466,0.91592205,0.04711348,HYG,USD,ETF
2025-12-12,11.083966,0.91637677,0.04720119,HYG,USD,ETF
2025-12-15,11.090842,0.9169452,0.04717777,HYG,USD,ETF
2025-12-16,11.077091,0.9158083,0.047148522,HYG,USD,ETF
