Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,33.05883,,1.2732413,,0.002223948,IWP,USD,ETF
2025-09-06,32.42855,,1.2732413,,0.0022061914,IWP,USD,ETF
2025-09-07,32.42855,,1.2732413,,0.0022061914,IWP,USD,ETF
2025-09-08,32.42855,,1.2732413,,0.0022061914,IWP,USD,ETF
2025-09-09,32.64659,,1.281802,,0.0022061914,IWP,USD,ETF
2025-09-10,33.30403,,1.2821587,,0.0021914567,IWP,USD,ETF
2025-10-31,32.891205,,1.266464,,0.0022442292,IWP,USD,ETF
2025-11-07,32.310333,,1.2439027,,0.0022860877,IWP,USD,ETF
2025-11-10,32.555393,,1.2535336,,0.002236263,IWP,USD,ETF
2025-11-11,32.497955,,1.2511258,,0.0022408762,IWP,USD,ETF
2025-11-12,31.747465,,1.222233,,0.002245189,IWP,USD,ETF
2025-11-13,31.69154,,1.2202712,,0.0022982636,IWP,USD,ETF
2025-11-14,31.09634,,1.1973534,,0.0023019586,IWP,USD,ETF
2025-11-18,31.20519,,1.2015445,,0.002346893,IWP,USD,ETF
2025-11-19,30.505772,,1.1746137,,0.0023378357,IWP,USD,ETF
2025-11-20,30.939072,,1.1911111,,0.0023914364,IWP,USD,ETF
2025-11-21,30.934225,,1.1911111,,0.0023914364,IWP,USD,ETF
2025-11-24,31.74249,,1.222233,,0.00233853,IWP,USD,ETF
2025-11-25,31.904978,,1.2282971,,0.0022982636,IWP,USD,ETF
2025-11-26,32.14547,,1.2377496,,0.0022869173,IWP,USD,ETF
2025-11-28,31.902292,,1.2283862,,0.0022694524,IWP,USD,ETF
2025-12-01,31.872183,,1.2272269,,0.0022867513,IWP,USD,ETF
2025-12-02,32.031986,,1.23338,,0.0022889115,IWP,USD,ETF
2025-12-03,32.233894,,1.2409599,,0.0022774925,IWP,USD,ETF
2025-12-04,32.249687,,1.2417624,,0.0022635814,IWP,USD,ETF
2025-12-05,32.25474,,1.2417624,,0.0022635814,IWP,USD,ETF
2025-12-08,32.12992,,1.2364119,,0.0022642324,IWP,USD,ETF
2025-12-09,32.47521,,1.249699,,0.0022719079,IWP,USD,ETF
2025-12-10,32.804268,,1.2623619,,0.0022477522,IWP,USD,ETF
2025-12-11,32.264328,,1.2415841,,0.0022252048,IWP,USD,ETF
2025-12-12,32.05577,,1.2335584,,0.0022624435,IWP,USD,ETF
2025-12-15,31.916727,,1.2282078,,0.0022797673,IWP,USD,ETF
2025-12-16,31.569126,,1.2148316,,0.0022870835,IWP,USD,ETF
2025-12-17,31.79391,,1.2234815,,0.002312266,IWP,USD,ETF
2025-12-19,32.15078,,1.2372146,,0.0022959183,IWP,USD,ETF
2025-12-22,32.3408,,1.2445269,,0.002245189,IWP,USD,ETF
2025-12-23,32.40337,,1.2469347,,0.0022570938,IWP,USD,ETF
2025-12-24,32.363976,,1.2454187,,0.0022527354,IWP,USD,ETF
2025-12-26,32.21335,,1.2396222,,0.0022554775,IWP,USD,ETF
2025-12-29,32.09748,,1.2351635,,0.002266024,IWP,USD,ETF
2025-12-30,31.73366,,1.221163,,0.002274204,IWP,USD,ETF
2026-01-06,32.878426,,1.2652155,,0.0022551548,IWP,USD,ETF
2026-01-07,32.6569,,1.2478263,,0.0022338843,IWP,USD,ETF
2026-01-08,32.899616,,1.2571006,,0.0022511256,IWP,USD,ETF
2026-01-09,32.899616,,1.2571006,,0.0022551548,IWP,USD,ETF
2026-01-12,32.98363,,1.2603109,,0.002234518,IWP,USD,ETF
2026-01-13,32.878613,,1.2562981,,0.0022278803,IWP,USD,ETF
2026-01-14,33.041977,,1.2625402,,0.0022359453,IWP,USD,ETF
2026-01-15,32.992966,,1.2606676,,0.0022248905,IWP,USD,ETF
